Load time for (selenium)Home screen:37.129second
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734198092756E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 4.126 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 4.126 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/new_customer/1/new | Load Time: 4.126 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/new_customer/1/new | Load Time: 4.126 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10041/view_v2/property/view | Load Time: 4.126 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734198191511E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 3.991 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 3.991 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/new_customer/1/new | Load Time: 3.991 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/new_customer/1/new | Load Time: 3.991 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10042/view_v2/property/view | Load Time: 3.991 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10042/view_v2/property/view | Load Time: -1.734198224699E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer_list/10042/view_v2/property/view | Load Time: 1.648 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10042/view_v2/property/view | Load Time: 1.648 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10042/view_v2/assets/view | Load Time: 1.648 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10042/asset/new | Load Time: 1.648 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10042/asset/new | Load Time: 1.648 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10042/assets/162/details/view | Load Time: 1.648 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/ | Load Time: -1.734198673817E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/ | Load Time: 5.542 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers | Load Time: 5.542 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/new_customer/1/new | Load Time: 5.542 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/new_customer/1/new | Load Time: 5.542 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10043/view_v2/property/view | Load Time: 5.542 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10043/view_v2/property/view | Load Time: -1.734198707968E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer_list/10043/view_v2/property/view | Load Time: 2.229 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10043/view_v2/property/view | Load Time: 2.229 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10043/view_v2/assets/view | Load Time: 2.229 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10043/asset/new | Load Time: 2.229 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10043/asset/new | Load Time: 2.229 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10043/assets/163/details/view | Load Time: 2.229 seconds
(page)Frame navigated to: https://app.commusoft.co.uk/customers/customer_list/10043/view_v2/property/view | Load Time: -1.734198723536E9 seconds
(page)Page loaded: https://app.commusoft.co.uk/customers/customer_list/10043/view_v2/property/view | Load Time: 0.654 seconds
